employee_email,week_ending,mood,stress_level,sleep_quality,energy_level
brenda.rivera@meridiananalytics.example,2026-01-09,0.62,0.44,0.58,0.51
brenda.rivera@meridiananalytics.example,2026-01-16,0.55,0.44,0.58,0.51
brenda.rivera@meridiananalytics.example,2026-01-23,0.48,0.44,0.58,0.51
vernon.meadows@meridiananalytics.example,2026-01-09,0.61,0.45,0.57,0.51
vernon.meadows@meridiananalytics.example,2026-01-16,0.54,0.45,0.57,0.51
vernon.meadows@meridiananalytics.example,2026-01-23,0.47,0.45,0.57,0.51
darren.cummings@meridiananalytics.example,2026-01-09,0.60,0.46,0.56,0.50
darren.cummings@meridiananalytics.example,2026-01-16,0.53,0.46,0.56,0.50
darren.cummings@meridiananalytics.example,2026-01-23,0.46,0.46,0.56,0.50
william.vincent@meridiananalytics.example,2026-01-09,0.59,0.47,0.55,0.49
william.vincent@meridiananalytics.example,2026-01-16,0.52,0.47,0.55,0.49
william.vincent@meridiananalytics.example,2026-01-23,0.45,0.47,0.55,0.49
karen.powell@meridiananalytics.example,2026-01-09,0.58,0.48,0.54,0.49
karen.powell@meridiananalytics.example,2026-01-16,0.51,0.48,0.54,0.49
karen.powell@meridiananalytics.example,2026-01-23,0.44,0.48,0.54,0.49
caroline.thompson@meridiananalytics.example,2026-01-09,0.57,0.49,0.53,0.48
caroline.thompson@meridiananalytics.example,2026-01-16,0.50,0.49,0.53,0.48
caroline.thompson@meridiananalytics.example,2026-01-23,0.43,0.49,0.53,0.48
travis.drake@meridiananalytics.example,2026-01-09,0.56,0.50,0.52,0.48
travis.drake@meridiananalytics.example,2026-01-16,0.49,0.50,0.52,0.48
travis.drake@meridiananalytics.example,2026-01-23,0.42,0.50,0.52,0.48
sabrina.robinson@meridiananalytics.example,2026-01-09,0.55,0.51,0.51,0.47
sabrina.robinson@meridiananalytics.example,2026-01-16,0.48,0.51,0.51,0.47
sabrina.robinson@meridiananalytics.example,2026-01-23,0.41,0.51,0.51,0.47
jonathan.norris@meridiananalytics.example,2026-01-09,0.54,0.52,0.50,0.47
jonathan.norris@meridiananalytics.example,2026-01-16,0.47,0.52,0.50,0.47
jonathan.norris@meridiananalytics.example,2026-01-23,0.40,0.52,0.50,0.47
robert.bailey@meridiananalytics.example,2026-01-09,0.53,0.53,0.49,0.47
robert.bailey@meridiananalytics.example,2026-01-16,0.46,0.53,0.49,0.47
robert.bailey@meridiananalytics.example,2026-01-23,0.39,0.53,0.49,0.47
sara.cobb@meridiananalytics.example,2026-01-09,0.52,0.54,0.48,0.46
sara.cobb@meridiananalytics.example,2026-01-16,0.45,0.54,0.48,0.46
sara.cobb@meridiananalytics.example,2026-01-23,0.38,0.54,0.48,0.46
timothy.ortiz@meridiananalytics.example,2026-01-09,0.51,0.55,0.47,0.46
timothy.ortiz@meridiananalytics.example,2026-01-16,0.44,0.55,0.47,0.46
timothy.ortiz@meridiananalytics.example,2026-01-23,0.37,0.55,0.47,0.46
